time_s,L_fx1,L_fy1,L_fz1,L_fx2,L_fy2,L_fz2,L_proximity,L_roll,L_pitch,L_yaw,R_fx1,R_fy1,R_fz1,R_fx2,R_fy2,R_fz2,R_proximity,R_roll,R_pitch,R_yaw
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0139147020675974,0.1000000000000085,-0.0799999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4210854715202004e-14,5.551115123125783e-17,-2.8421709430404014e-14
0.0150000005960464,0.0,0.0,0.0,0.0,0.0,0.0,0.0146623941405356,0.1000000000000085,-0.0799999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4210854715202004e-14,5.551115123125783e-17,-2.8421709430404014e-14
0.0309999994933605,0.0,0.0,0.0,0.0,0.0,0.0,0.0151049057755398,0.1000000000000085,-0.0799999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4210854715202004e-14,5.551115123125783e-17,-2.8421709430404014e-14
0.0470000002533197,0.0,0.0,0.0,0.0,0.0,0.0,0.01524223697261,0.1000000000000085,-0.0799999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4210854715202004e-14,5.551115123125783e-17,-2.8421709430404014e-14
0.0779999997466802,0.0,0.0,0.0,0.0,0.0,0.0,0.0153490501258869,0.1000000000000085,-0.0799999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4210854715202004e-14,5.551115123125783e-17,-2.8421709430404014e-14
0.0930000003427267,0.0,0.0,0.0,0.0,0.0,0.0,0.0154406042572671,0.1000000000000085,-0.0799999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4210854715202004e-14,5.551115123125783e-17,-2.8421709430404014e-14
0.1090000011026859,0.0,0.0,0.0,0.0,0.0,0.0,0.0163714045929656,0.1000000000000085,-0.0799999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4210854715202004e-14,5.551115123125783e-17,-2.8421709430404014e-14
0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0177141985198749,0.1000000000000085,0.0200000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4210854715202004e-14,5.551115123125783e-17,-2.8421709430404014e-14
0.1400000005960464,0.0,0.0,0.0,0.0,0.0,0.0,0.0190112153810941,0.1000000000000085,0.0200000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4210854715202004e-14,5.551115123125783e-17,-2.8421709430404014e-14
0.1559999994933605,0.0,0.0,0.0,0.0,0.0,0.0,0.0199114976729991,0.1000000000000085,0.0200000000000001,0.1000000000000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4210854715202004e-14,5.551115123125783e-17,-2.8421709430404014e-14
