time_s,L_fx1,L_fy1,L_fz1,L_fx2,L_fy2,L_fz2,L_proximity,L_roll,L_pitch,L_yaw,R_fx1,R_fy1,R_fz1,R_fx2,R_fy2,R_fz2,R_proximity,R_roll,R_pitch,R_yaw
0.0,0.0,0.0,0.0,0.0,0.0,0.0412,0.0,1.4210854715202004e-14,1.1102230246251563e-16,-1.1099999999999852,0.0,0.0,0.3132,0.0,0.0,0.5911999999999998,0.0003082322423132,1.4210854715202004e-14,5.551115123125783e-17,-0.789999999999992
0.015999998897314,0.0,0.0,0.0,0.0,0.0,0.0332,0.0,1.4210854715202004e-14,1.1102230246251563e-16,-1.1099999999999852,0.0,0.0,0.3186,0.0,0.0,0.5928,0.0,1.4210854715202004e-14,5.551115123125783e-17,-0.789999999999992
0.015999998897314,0.0,0.0,0.0,0.0,0.0,0.0453999999999998,0.0,1.4210854715202004e-14,1.1102230246251563e-16,-1.2099999999999935,0.0,0.0,0.3176,0.0,0.0,0.5904,0.0,1.4210854715202004e-14,5.551115123125783e-17,-0.8900000000000148
0.0470000002533197,0.0,0.0,0.0,0.0,0.0,0.0378,0.0,1.4210854715202004e-14,1.1102230246251563e-16,-1.2099999999999935,0.0,0.0,0.3236,0.0,0.0,0.5741999999999998,0.0,1.4210854715202004e-14,5.551115123125783e-17,-0.8900000000000148
0.0629999991506338,0.0,0.0,0.0,0.0,0.0,0.0376,0.0,1.4210854715202004e-14,1.1102230246251563e-16,-1.2099999999999935,0.0,0.0,0.311,0.0,0.0,0.5876,0.0,1.4210854715202004e-14,5.551115123125783e-17,-0.9900000000000092
0.0779999997466802,0.0,0.0,0.0,0.0,0.0,0.0311999999999996,0.0,1.4210854715202004e-14,1.1102230246251563e-16,-1.309999999999988,0.0,0.0,0.3204,0.0,0.0,0.6022,0.0,1.4210854715202004e-14,5.551115123125783e-17,-0.9900000000000092
0.0940000005066394,0.0,0.0,0.0,0.0,0.0,0.0307999999999998,0.0,1.4210854715202004e-14,1.1102230246251563e-16,-1.309999999999988,0.0,0.0,0.3252,0.0,0.0,0.5959999999999998,0.0,1.4210854715202004e-14,5.551115123125783e-17,-1.0900000000000034
0.1099999994039535,0.0,0.0,0.0,0.0,0.0,0.0417999999999996,0.0,1.4210854715202004e-14,1.1102230246251563e-16,-1.4099999999999824,0.0,0.0,0.3355999999999998,0.0,0.0,0.6158,0.0,1.4210854715202004e-14,5.551115123125783e-17,-1.0900000000000034
0.125,0.0,0.0,0.0,0.0,0.0,0.042,0.0,1.4210854715202004e-14,-0.0999999999999998,-1.4099999999999824,0.0,0.0,0.344,0.0,0.0,0.6243999999999998,0.0,1.4210854715202004e-14,5.551115123125783e-17,-1.1899999999999975
0.140999998897314,0.0,0.0,0.0,0.0,0.0,0.0417999999999996,0.0,0.1000000000000085,1.1102230246251563e-16,-1.4099999999999824,0.0,0.0,0.349,0.0,0.0,0.6313999999999999,0.0,0.1000000000000085,5.551115123125783e-17,-1.1899999999999975
0.1569999996572733,0.0,0.0,0.0,0.0,0.0,0.0405999999999996,0.0,0.1000000000000085,1.1102230246251563e-16,-1.509999999999991,0.0,0.0,0.3584,0.0,0.0,0.6455999999999998,0.0,0.1000000000000085,5.551115123125783e-17,-1.289999999999992
0.1879999991506338,0.0,0.0,0.0,0.0,0.0,0.0462,0.0,0.1000000000000085,1.1102230246251563e-16,-1.509999999999991,0.0,0.0,0.349,0.0,0.0,0.6518,0.0,0.1000000000000085,5.551115123125783e-17,-1.289999999999992
0.2029999997466802,0.0,0.0,0.0,0.0,0.0,0.0291999999999996,0.0,0.2000000000000028,1.1102230246251563e-16,-1.509999999999991,0.0,0.0,0.3706,0.0,0.0,0.6722,3.356984817274324e-05,0.1000000000000085,5.551115123125783e-17,-1.289999999999992
0.2190000005066394,0.0,0.0,0.0,0.0,0.0,0.0456,0.0,0.2000000000000028,1.1102230246251563e-16,-1.6099999999999852,0.0,0.0,0.3594,0.0,0.0,0.6812,4.882887006943966e-05,0.2000000000000028,5.551115123125783e-17,-1.3900000000000148
0.25,0.0,0.0,0.0,0.0,0.0,0.0557999999999998,0.0,0.2000000000000028,1.1102230246251563e-16,-1.6099999999999852,0.0,0.0,0.3522,0.0,0.0,0.68,0.0001403830014496,0.2000000000000028,5.551115123125783e-17,-1.3900000000000148
0.265999998897314,0.0,0.0,0.0,0.0,0.0,0.0594,0.0,0.2000000000000028,1.1102230246251563e-16,-1.6099999999999852,0.0,0.0,0.3757999999999998,0.0,0.0,0.7032000000000002,0.0002014190890364,0.2000000000000028,5.551115123125783e-17,-1.3900000000000148
0.2819999996572733,0.0,0.0,0.0,0.0,0.0,0.0614,0.0,0.2000000000000028,1.1102230246251563e-16,-1.7099999999999935,0.0,0.0,0.3847999999999998,0.0,0.0,0.7188,0.0010864423590447,0.2000000000000028,5.551115123125783e-17,-1.3900000000000148
0.2970000002533197,0.0,0.0,0.0,0.0,0.0,0.0633999999999996,0.0,0.2000000000000028,1.1102230246251563e-16,-1.7099999999999935,0.0,0.0,0.3781999999999998,0.0,0.0,0.731,0.0010864423590447,0.2000000000000028,5.551115123125783e-17,-1.490000000000009
0.3129999991506338,0.0,0.0,0.0,0.0,0.0,0.057,3.0518043793503867e-06,0.2000000000000028,1.1102230246251563e-16,-1.809999999999988,0.0,0.0,0.3864,0.0,0.0,0.7502,0.0011627374685282,0.2000000000000028,5.551115123125783e-17,-1.490000000000009
0.3279999997466802,0.0,0.0,0.0,0.0,0.0,0.0664,3.0518043793503867e-06,0.2000000000000028,1.1102230246251563e-16,-1.809999999999988,0.0,0.0,0.3802,0.0,0.0,0.7578,0.0012848096437018,0.2000000000000028,5.551115123125783e-17,-1.490000000000009
0.3440000005066395,0.0,0.0,0.0,0.0,0.0,0.0705999999999996,0.0001098649576562,0.2000000000000028,1.1102230246251563e-16,-1.809999999999988,0.0,0.0,0.4006,0.0,0.0,0.7532,0.0014068818188754,0.2000000000000028,5.551115123125783e-17,-1.5900000000000034
0.3599999994039535,0.0,0.0,0.0,0.0,0.0,0.0747999999999998,0.0001098649576562,0.2000000000000028,1.1102230246251563e-16,-1.9099999999999824,0.0,0.0,0.381,0.0,0.0,0.757,0.0014984359502555,0.2000000000000028,5.551115123125783e-17,-1.5900000000000034
0.375,0.0,0.0,0.0,0.0,0.0,0.088,0.0002319371328297,0.2000000000000028,1.1102230246251563e-16,-1.9099999999999824,0.0,0.0,0.4008,0.0,0.0,0.7601999999999998,0.0015594720378423,0.2000000000000028,5.551115123125783e-17,-1.5900000000000034
0.4069999996572733,0.0,0.0,0.0,0.0,0.0,0.0869999999999996,0.0002319371328297,0.2000000000000028,1.1102230246251563e-16,-2.009999999999991,0.0,0.0,0.3826,0.0,0.0,0.765,0.001727321278706,0.2000000000000028,5.551115123125783e-17,-1.6899999999999975
0.4220000002533197,0.0,0.0,0.0,0.0,0.0,0.1038,0.0003997863736934,0.2000000000000028,1.1102230246251563e-16,-2.009999999999991,0.0,0.0,0.389,0.0,0.0,0.7803999999999998,0.0021240558480201,0.2000000000000028,5.551115123125783e-17,-1.6899999999999975
0.4379999991506338,0.0,0.0,0.001,0.0,0.0,0.0979999999999998,0.0004150453955901,0.3000000000000113,1.1102230246251563e-16,-2.109999999999985,0.0,0.0,0.3861999999999998,0.0,0.0,0.7777999999999996,0.0022613870450904,0.2000000000000028,5.551115123125783e-17,-1.789999999999992
0.4529999997466802,0.0,0.0,0.0107999999999998,0.0,0.0,0.11,0.0004150453955901,0.3000000000000113,1.1102230246251563e-16,-2.109999999999985,0.0,0.0,0.3912,0.0,0.0,0.7777999999999996,0.0022766460669871,0.2000000000000028,5.551115123125783e-17,-1.789999999999992
0.4690000005066395,0.0,0.0,0.0036,0.0,0.0,0.1127999999999996,0.0004303044174868,0.3000000000000113,1.1102230246251563e-16,-2.109999999999985,0.0,0.0,0.3812,0.0,0.0,0.7987999999999996,0.0025360494392309,0.2000000000000028,5.551115123125783e-17,-1.789999999999992
0.4849999994039535,0.0,0.0,0.0,0.0,0.0,0.1072,0.000720225833524,0.2000000000000028,1.1102230246251563e-16,-2.109999999999985,0.0,0.0,0.3954,0.0,0.0,0.7986,0.0028870069428549,0.2000000000000028,5.551115123125783e-17,-1.8900000000000148
0.5,0.0,0.0,0.0112,0.0,0.0,0.1115999999999998,0.0008117799649042,0.2000000000000028,1.1102230246251563e-16,-2.2099999999999937,0.0,0.0,0.3919999999999998,0.0,0.0,0.8126,0.0030395971618219,0.2000000000000028,5.551115123125783e-17,-1.8900000000000148
0.5319999996572733,0.0,0.0,0.0225999999999996,0.0,0.0,0.1103999999999996,0.0008880750743877,0.2000000000000028,1.1102230246251563e-16,-2.2099999999999937,0.0,0.0,0.4114,0.0,0.0,0.8058,0.0033295185778591,0.3000000000000113,5.551115123125783e-17,-1.990000000000009
0.5470000002533197,0.0,0.0,0.0155999999999996,0.0,0.0,0.1043999999999998,0.0008880750743877,0.2000000000000028,1.1102230246251563e-16,-2.309999999999988,0.0,0.0,0.4028,0.0,0.0,0.826,0.0035278858625162,0.3000000000000113,5.551115123125783e-17,-1.990000000000009
0.5629999991506338,0.0,0.0,0.0202,0.0,0.0,0.1275999999999996,0.0009948882276646,0.2000000000000028,1.1102230246251563e-16,-2.309999999999988,0.0,0.0,0.4044,0.0,0.0,0.8578,0.0037567711909666,0.3000000000000113,5.551115123125783e-17,-2.0900000000000034
